@relation 'simple data set'

@attribute testNominal {someValue}
@attribute testNumeric numeric
@attribute gender {m,f,n}

@data
someValue,3.14,m
someValue,3.14,n
someValue,3.14,m
someValue,3.14,m
someValue,3.14,n
someValue,3.14,m
someValue,3.14,n
someValue,3.14,n
someValue,3.14,m
someValue,3.14,n
someValue,3.14,f
someValue,3.14,n
someValue,3.14,m
someValue,3.14,m
someValue,3.14,f
someValue,3.14,f
someValue,3.14,m
someValue,3.14,n
someValue,3.14,n
someValue,3.14,n
someValue,3.14,n
someValue,3.14,m
someValue,3.14,f
someValue,3.14,n
someValue,3.14,m
someValue,3.14,n
someValue,3.14,n
someValue,3.14,m
someValue,3.14,f
someValue,3.14,n
someValue,3.14,n
someValue,3.14,f
someValue,3.14,m
someValue,3.14,f
someValue,3.14,n
someValue,3.14,m
someValue,3.14,m
someValue,3.14,n
someValue,3.14,n
someValue,3.14,n
someValue,3.14,n
someValue,3.14,f
someValue,3.14,f
someValue,3.14,m
someValue,3.14,n
someValue,3.14,f
someValue,3.14,n
someValue,3.14,n
someValue,3.14,n
someValue,3.14,n
someValue,3.14,f
someValue,3.14,m
someValue,3.14,n
someValue,3.14,m
someValue,3.14,n
someValue,3.14,m
someValue,3.14,n
someValue,3.14,n
someValue,3.14,n
someValue,3.14,f
someValue,3.14,n
someValue,3.14,m
someValue,3.14,n
someValue,3.14,n
someValue,3.14,m
someValue,3.14,f
someValue,3.14,n
someValue,3.14,n
someValue,3.14,f
someValue,3.14,f
someValue,3.14,n
someValue,3.14,n
someValue,3.14,n
someValue,3.14,n
someValue,3.14,m
someValue,3.14,n
someValue,3.14,n
someValue,3.14,f
someValue,3.14,n
someValue,3.14,n
someValue,3.14,n
someValue,3.14,n
someValue,3.14,n
someValue,3.14,n
someValue,3.14,n
someValue,3.14,m
someValue,3.14,n
someValue,3.14,m
someValue,3.14,n
someValue,3.14,m
someValue,3.14,n
someValue,3.14,f
someValue,3.14,m
someValue,3.14,f
someValue,3.14,n
someValue,3.14,m
someValue,3.14,f
someValue,3.14,n
someValue,3.14,m
someValue,3.14,f
someValue,3.14,n
someValue,3.14,n
someValue,3.14,f
someValue,3.14,f
someValue,3.14,m
someValue,3.14,f
someValue,3.14,f
someValue,3.14,m
someValue,3.14,m
someValue,3.14,n
someValue,3.14,n
someValue,3.14,m
someValue,3.14,m
someValue,3.14,f
someValue,3.14,m
someValue,3.14,n
someValue,3.14,n
someValue,3.14,m
someValue,3.14,n
someValue,3.14,m
someValue,3.14,n
someValue,3.14,n
someValue,3.14,m
someValue,3.14,f
someValue,3.14,n
someValue,3.14,n
someValue,3.14,m
someValue,3.14,n
someValue,3.14,m
someValue,3.14,n
someValue,3.14,m
someValue,3.14,n
someValue,3.14,m
someValue,3.14,n
someValue,3.14,f
someValue,3.14,f
someValue,3.14,n
someValue,3.14,n
someValue,3.14,m
someValue,3.14,n
someValue,3.14,f
someValue,3.14,m
someValue,3.14,m
someValue,3.14,n
someValue,3.14,f
someValue,3.14,f
someValue,3.14,m
someValue,3.14,n
someValue,3.14,m
someValue,3.14,n
someValue,3.14,n
someValue,3.14,n
someValue,3.14,m
someValue,3.14,n
someValue,3.14,m
someValue,3.14,n
someValue,3.14,n
someValue,3.14,n
someValue,3.14,m
someValue,3.14,f
someValue,3.14,m
someValue,3.14,n
someValue,3.14,m
someValue,3.14,n
someValue,3.14,m
someValue,3.14,f
someValue,3.14,n
someValue,3.14,f
someValue,3.14,m
someValue,3.14,m
someValue,3.14,n
someValue,3.14,m
someValue,3.14,f
someValue,3.14,f
someValue,3.14,n
someValue,3.14,n
someValue,3.14,m
someValue,3.14,n
someValue,3.14,f
someValue,3.14,m
someValue,3.14,m
someValue,3.14,m
someValue,3.14,n
someValue,3.14,n
someValue,3.14,n
someValue,3.14,n
someValue,3.14,n
someValue,3.14,f
someValue,3.14,n
someValue,3.14,f
someValue,3.14,m
someValue,3.14,n
someValue,3.14,n
someValue,3.14,n
someValue,3.14,n
someValue,3.14,n
someValue,3.14,n
someValue,3.14,f
someValue,3.14,m
someValue,3.14,m
someValue,3.14,m
someValue,3.14,f
someValue,3.14,n
someValue,3.14,m
someValue,3.14,n
someValue,3.14,n
someValue,3.14,n
someValue,3.14,m
someValue,3.14,n
someValue,3.14,n
someValue,3.14,m
someValue,3.14,m
someValue,3.14,m
someValue,3.14,f
someValue,3.14,n
someValue,3.14,m
someValue,3.14,n
someValue,3.14,n
someValue,3.14,m
someValue,3.14,f
someValue,3.14,m
someValue,3.14,n
someValue,3.14,m
someValue,3.14,m
someValue,3.14,f
someValue,3.14,m
someValue,3.14,m
someValue,3.14,m
someValue,3.14,n
someValue,3.14,n
someValue,3.14,m
someValue,3.14,m
someValue,3.14,f
someValue,3.14,f
someValue,3.14,m
someValue,3.14,f
someValue,3.14,n
someValue,3.14,m
someValue,3.14,m
someValue,3.14,f
someValue,3.14,n
someValue,3.14,f
someValue,3.14,n
someValue,3.14,m
someValue,3.14,f
someValue,3.14,n
someValue,3.14,f
someValue,3.14,m
someValue,3.14,n
someValue,3.14,n
someValue,3.14,m
someValue,3.14,m
someValue,3.14,m
someValue,3.14,m
someValue,3.14,n
someValue,3.14,n
someValue,3.14,f
someValue,3.14,f
someValue,3.14,m
someValue,3.14,m
someValue,3.14,m
someValue,3.14,n
someValue,3.14,n
someValue,3.14,n
someValue,3.14,m
someValue,3.14,f
someValue,3.14,m
someValue,3.14,n
someValue,3.14,f
someValue,3.14,n
someValue,3.14,f
someValue,3.14,n
someValue,3.14,n
someValue,3.14,n
someValue,3.14,n
someValue,3.14,n
someValue,3.14,m
someValue,3.14,n
someValue,3.14,m
someValue,3.14,f
someValue,3.14,m
someValue,3.14,m
someValue,3.14,n
someValue,3.14,m
someValue,3.14,f
someValue,3.14,m
someValue,3.14,n
someValue,3.14,n
someValue,3.14,m
someValue,3.14,f
someValue,3.14,f
someValue,3.14,m
someValue,3.14,n
someValue,3.14,f
someValue,3.14,n
someValue,3.14,f
someValue,3.14,n
someValue,3.14,n
someValue,3.14,f
someValue,3.14,n
someValue,3.14,m
someValue,3.14,m
someValue,3.14,f
someValue,3.14,n
someValue,3.14,m
someValue,3.14,f
someValue,3.14,m
someValue,3.14,n
someValue,3.14,n
someValue,3.14,m
someValue,3.14,n
someValue,3.14,m
someValue,3.14,n
someValue,3.14,n
someValue,3.14,m
someValue,3.14,f
someValue,3.14,m
someValue,3.14,m
someValue,3.14,m
